,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1/2-SBSRNA4,45.6520398838297,0.268228817710834,0.188298935412517,1.42448398406082,0.154306418077201,0.264241046156943
A1BG,61.0931017446029,0.209038099116329,0.17385685771211,1.20235751334282,0.229225042750906,0.35745976833757
A1BG-AS1,175.665806942797,-0.0519049000769357,0.124322841692576,-0.41750091431537,0.676312055675862,0.780856476495986
A1CF,0.237691930820274,0.0130000746376369,0.0490692953111757,0.26493298008859,0.791061091396088,NA
A2LD1,89.6179845194553,0.344628483619015,0.159776486572777,2.15694118084164,0.03101024772533,0.0722240308496908
A2M,5.86008405881564,-0.274356604817098,0.179440453072103,-1.52895626443195,0.126275286524241,0.225718732587237
A2ML1,2.42405528351702,0.239509841121559,0.137201916010149,1.7456741719543,0.0808675855764751,NA
A2MP1,1.32032366583202,0.0811230021405883,0.100850513268186,0.804388589722515,0.421172588848362,NA
A4GALT,64.5409534041046,0.79811692468856,0.171739584190499,4.64725082717834,3.36388044605221e-06,2.39533509530352e-05
A4GNT,0.191278119184428,0.00952412042667921,0.0420803447204637,0.226331806213736,0.820943362360426,NA
AA06,0,NA,NA,NA,NA,NA
AAA1,0.104027249105564,0.00946596121729828,0.0419530046211384,0.225632497666896,0.821487263073872,NA
AAAS,1453.66728380191,-0.043143302405247,0.0661511510127632,-0.652192769811714,0.514276823589081,0.647803201212804
AACS,860.187476561106,-0.0452909158466096,0.0726114122732354,-0.623743767387154,0.532795874660499,0.664360964553773
AACSP1,1.45963342063356,-0.0397886163993676,0.108408839275682,-0.367023728555802,0.713601318458097,NA
AADAC,0,NA,NA,NA,NA,NA
AADACL2,0,NA,NA,NA,NA,NA
AADACL3,0,NA,NA,NA,NA,NA
AADACL4,0.215575506924577,0.0250314873215743,0.0476380642261549,0.525451395395516,0.59926943315696,NA
AADAT,535.382637629123,-0.0430758585594487,0.0828671748391894,-0.519818114265884,0.603190352721524,0.722422055261096
AAGAB,2613.70664090997,-0.390131006077589,0.0542486806391794,-7.19152984885366,6.40693232333798e-13,1.6771993509892e-11
AAK1,1511.47059440313,-0.0518329329421929,0.0637822078732152,-0.812655043946193,0.416415863104369,0.558056700616118
AAMP,3156.70141024047,-0.379818838363744,0.0498888670778417,-7.61329852953188,2.67187680763026e-14,9.11171349741967e-13
AANAT,6.94497013375795,0.212089615860258,0.18556921647271,1.14291378651937,0.253074387911345,0.384708550302017
AARS,3690.03330258063,0.166851533358232,0.0480051160190303,3.47570315822355,0.000509515912163222,0.00209540343030872
AARS2,2255.39148886102,-0.203509930086824,0.0513483485792055,-3.9633198674911,7.3914639793318e-05,0.00037695773993876
AARSD1,873.807315646392,0.158606917273832,0.0704416508858325,2.2516070432661,0.024347115577788,0.0589549559684505
AASDH,796.359854991024,0.169738484766815,0.06955281005141,2.44042598194598,0.0146699518836927,0.0385139286435422
AASDHPPT,3560.52307574277,-0.292750818329321,0.0530921145223214,-5.51401693007047,3.50734838481832e-08,3.78956879128238e-07
AASS,1018.37800174182,0.346971705867812,0.0795335619294656,4.36258225396122,1.28536235566127e-05,7.94114753393599e-05
AATF,2613.47138757535,-0.289533205094705,0.0513562228307914,-5.6377433762732,1.72293005936232e-08,1.97315985384118e-07
AATK,264.021563951916,0.211941511150052,0.118009814439745,1.79596512507244,0.0725000637135058,0.144975725864944
AATK-AS1,2.58860044931531,0.0141735458918175,0.133066485462375,0.106514768482595,0.91517393851148,0.948563850608187
ABAT,384.161134678001,0.384331166989777,0.0930200035506778,4.13170449709122,3.60083142903841e-05,0.000198647691298015
ABCA1,108.221084734236,0.832859341517888,0.151589879178052,5.49416191921126,3.92570187532741e-08,4.18852646201654e-07
ABCA10,20.5070871518849,-0.481591746714811,0.207863501613339,-2.31686536105147,0.0205110672029939,0.0510044577197299
ABCA11P,195.456075183862,0.00854310804689088,0.119026601845194,0.0717747790363878,0.942781144453975,0.965659016469506
ABCA12,5.86178644624676,-0.184270219866951,0.175392778060734,-1.05061463706985,0.293435615766052,0.43023703289996
ABCA13,4.55711459781512,-0.135135433266849,0.165878304540355,-0.814666111046324,0.415263456679406,0.556923527492455
ABCA17P,11.5026176570889,-0.0732427456253105,0.202700134711146,-0.361335456089773,0.717848691497706,0.810953428440372
ABCA2,859.231929191648,0.274340269653748,0.0860055369928683,3.18979776472411,0.00142372385860615,0.00517962789094241
ABCA3,811.095893826766,0.13204207284847,0.0826099934877438,1.59837892818694,0.109958671299474,0.202154415272161
ABCA4,7.41314224185916,-0.0490605556668224,0.189434750489439,-0.258983927394871,0.795647641609116,0.867038307250494
ABCA5,1039.85343690225,-0.208813317901292,0.0694275399163675,-3.00764391411288,0.00263281432130518,0.00883827002435679
ABCA6,6.12494272420089,-0.610607176327086,0.181854168824775,-3.35767489012272,0.000786010019605526,0.00307237943772583
ABCA7,387.332376132663,0.0741819746967665,0.0976959739908542,0.759314551730771,0.447664414728883,0.588065799324191
ABCA8,43.0593542427917,-0.157391820817106,0.189250369061356,-0.831659254339831,0.405601305680706,0.546974104540109
ABCA9,11.2265541551292,-0.838513070850916,0.200443672803536,-4.18328530465903,2.87326432555426e-05,0.000162067585490086
ABCB1,729.169590165103,-0.144503381758838,0.074106899666163,-1.94993155036572,0.0511842780594494,0.109296203771919
