	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
1/2-SBSRNA4	36.4293407438192	43.842015602425	53.2619515420488	49.0812334403658	58.1485482320662	40.0925854925717	32.2056759321447	52.154968085196
A1BG	45.3768981194942	42.7726981487073	83.2217992844512	72.2832710667205	62.7392230924924	68.6028685095116	60.2557807762707	53.4922749591754
A1BG-AS1	163.612477726627	189.26918930803	183.087958425793	168.660965822348	163.734070021871	189.771571331506	178.689556784803	168.500666121403
A1CF	0	1.06931745371768	0.832217992844512	0	0	0	0	0
A2LD1	93.3102412034668	86.6147137511323	114.846083012543	111.548257819013	79.5716975807221	81.0761173294228	83.1114217603734	66.8653436989693
A2M	6.39111241119636	9.62385708345914	1.66443598568902	4.46193031276052	3.06044990695085	8.01851709851434	8.31114217603734	5.34922749591754
A2ML1	1.91733372335891	2.13863490743537	4.99330795706707	4.46193031276052	3.06044990695085	1.78189268855874	1.03889277200467	0
A2MP1	0	0	1.66443598568902	0.892386062552105	4.59067486042628	0	2.07778554400933	1.33730687397938
A4GALT	35.7902295026996	39.5647457875543	89.0473252343628	105.301555381148	99.4646219759026	43.6563708696892	54.0224241442427	49.4803543372372
A4GNT	0	0	0	0	1.53022495347543	0	0	0
AA06	0	0	0	0	0	0	0	0
AAA1	0	0	0.832217992844512	0	0	0	0	0
AAAS	1462.28651968173	1457.4796894172	1458.87814145643	1541.15073002748	1277.73783615198	1489.66228763511	1443.02206031448	1499.12100573089
AACS	1013.63042841574	986.980009781421	791.439311195131	862.937322487885	740.628877482106	835.70767093405	800.986327215598	849.189864976909
AACSP1	0.639111241119636	1.06931745371768	2.49665397853354	0	1.53022495347543	0.890946344279371	1.03889277200467	4.01192062193816
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0.832217992844512	0.892386062552105	0	0	0	0
AADAT	547.079222398408	576.362107553831	493.505269756796	514.014372030012	549.350758297678	505.166577206403	541.263134214432	556.319659575424
AAGAB	2970.58904872407	2726.75950698009	2203.71324505227	2102.46156337276	2266.2631560971	2908.93981407215	2898.51083389302	2832.41595908834
AAK1	1476.34696698636	1479.93535594527	1555.41542862639	1429.60247220847	1499.62045440592	1492.33512666795	1676.77293401553	1481.73601636916
